"idno","ppltrst","happy","cgtsday","alcfreq","height","weight","gndr","yrbrn"
"313",926733,"7","8",NA,"Less than once a month",163,85,"Female",1968
"314",926759,"4","7",NA,"Never",168,66,"Female",1953
"315",926767,"8","8",NA,"2-3 times a month",173,65,"Female",1953
"316",926775,"8","8",20,"Several times a week",189,75,"Male",1989
"317",926806,"6","Extremely happy",NA,"Several times a week",172,64,"Female",1979
"318",926814,"4","1",NA,"Once a week",162,80,"Female",1977
"319",926822,"8","Extremely happy",NA,"Several times a week",175,69,"Male",1937
"320",926848,"8","9",15,"Once a month",178,76,"Male",1996
"321",926872,"8","Extremely happy",NA,"Once a week",155,58,"Female",1973
"322",926880,"7","8",NA,"Once a week",161,62,"Female",1969
"323",926898,"5","6",NA,"Once a week",182,112,"Male",1968
"324",926903,"9","9",NA,"Every day",162,62,"Female",1940
"325",926911,"8","8",NA,"2-3 times a month",184,79,"Male",1960
"326",926929,"5","2",15,"Every day",169,57,"Female",1957
"327",926937,"7","Extremely happy",NA,"Every day",168,74,"Female",1942
"328",926945,"7","9",NA,"Once a week",176,56,"Female",1971
"329",926953,"Most people can be trusted","8",NA,"Once a month",184,73,"Male",1940
"330",926961,"7","7",NA,"Once a week",172,51,"Female",1998
"331",926979,"7","9",NA,"Once a week",183,84,"Male",1992
"332",926987,"8","9",NA,"Several times a week",162,64,"Female",1950
"333",926995,"8","7",10,"Once a week",178,95,"Male",1986
"334",927006,"7","6",NA,"Less than once a month",167,72,"Female",1967
"335",927048,"7","Extremely happy",NA,"Less than once a month",160,75,"Female",1985
"336",927072,"8","7",NA,"Several times a week",192,83,"Male",1964
"337",927098,"9","8",NA,"Several times a week",165,55,"Female",1954
"338",927111,"4","4",NA,"Less than once a month",159,93,"Female",1966
"339",927137,"Most people can be trusted","Extremely happy",18,"2-3 times a month",175,90,"Male",1955
"340",927179,"5","5",NA,"2-3 times a month",169,43,"Female",1954
"341",927187,"3","9",NA,"Every day",162,65,"Male",1927
"342",927226,"8","Extremely happy",NA,"Less than once a month",182,87,"Male",1974
"343",927250,"8","9",NA,"Several times a week",169,65,"Female",1977
"344",927276,"8","Extremely happy",NA,"Several times a week",184,90,"Male",1953
"345",927284,"Most people can be trusted","8",NA,"Less than once a month",155,60,"Female",1922
"346",927307,"7","8",7,"Once a week",161,63,"Female",1995
"347",927323,"8","Extremely happy",NA,"Once a week",172,87,"Female",1967
"348",927331,"5","Extremely happy",NA,"Never",181,NA,"Female",1981
"349",927349,"5","8",10,"Once a week",188,79,"Male",1974
"350",927373,"8","9",NA,"Less than once a month",172,72,"Male",1987
"351",927381,"7","8",NA,"Every day",173,82,"Male",1995
"352",927399,"2","7",25,"Once a week",180,83,"Male",1981
"353",927462,"Most people can be trusted","Extremely happy",10,"Less than once a month",172,68,"Male",1959
"354",927488,"4","9",15,"Less than once a month",168,74,"Male",1981
"355",927585,"7","9",NA,"Once a month",175,84,"Female",1986
"356",927593,"4","Extremely happy",NA,"Once a week",170,84,"Male",1967
